weight	classification	source	location	subject	claim
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/adapters/sql_base.py:148		A DSN may ride in on the credential (per-tenant database) or be the adapter default.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/auth_password_routes.py:34		The caller, ONLY if they proved the credential they are asking to retire.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/api/auth_password_routes.py:92		Keys-only ([2026] VJS-COUNTY 7, D8): the fact of the rotation, never a password.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/auth_routes.py:1		First-party invite-only login HTTP surface ([2026] VJS-COUNTY 7).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/auth_routes.py:116		Materialise an org/workspace-scoped invite's provisioning on accept ([2026] VJS-COUNTY 8, D6).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/api/auth_routes.py:556		store (never a plaintext column), and return the otpauth URI + secret + the
LOAD-BEARING	NO-SUBJECT	comment	boltrig/api/auth_routes.py:769		never a bypass.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/boot_guards.py:39		Abort if the audit-chain HMAC key is unset/default with a production signal (K-19).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/api/boot_guards.py:70		audit log is tamper-evident.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/bootstrap.py:315		Bridge a HITL answer to the lane that can act on it (Beat 5, NFR-REL-03).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/chat_cli.py:46		The CLI config file (TOML), or {} when absent;
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/chat_cli_http.py:30		A one-line, user-facing HTTP failure.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/fleet_health.py:1		`boltrig fleet-health` - a readiness probe for a process that serves no HTTP.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/api/initiate.py:146		Audit the owner seed keys-only (D8): the email, never the password.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/initiate.py:187		Set (or reset) the first-party password of an EXISTING user.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/api/worker.py:98		Start the audit-rollup anchor janitor (COUNTY 9 D4), or None when disabled.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/config/admin.py:107		Surface adapter credential references (never values) for rotation view (US-ADM-03).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/config/birth_profile.py:30		Convert typed composition data to stable JSON solely for hashing.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/config/control_compat.py:1		Compatibility mutations routed through the governed ``control.*`` adapter.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/config/control_lifecycle.py:107		Unbind and delete the credential ref registration created, if unshared.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/config/manifest.py:230		Long-conversation compaction (append-only derived summaries).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/config/manifest.py:288		Long-conversation compaction knobs (append-only derived summaries).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/config/manifest.py:46		A reference to secret material - never the material itself (SEC-04).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/config/manifest.py:477		One non-negative rate as a float, or None when absent/malformed/negative.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/config/permanent_fleet.py:196		The controlled mutation is one append-only desired-state write.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/config/weak_secrets.py:1		One predicate for "this secret is a placeholder, not a secret".
LOAD-BEARING	NO-SUBJECT	comment	boltrig/config/weak_secrets.py:24		Exact values that are never a real secret.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/application/grant_leases.py:57		Mint opaque credentials from trusted immutable authority snapshots only.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/application/model_proxy_grants.py:57		The bounded idempotent-startup cache cannot retain another bearer.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/application/model_proxy_store_projection.py:1		Fail-closed validation of model-proxy grant store return values.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/application/root_admission.py:17		The sole atomic, total path from trusted root facts to a persisted decision.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/authority.py:40		never the tenant ceiling (that is the escalation this module exists to close).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/chat_compaction.py:1		Append-only conversation compaction helpers.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/codex_runtime.py:225		caller, and carry only a cause tag - never token material.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/continuity.py:171		deterministic and append-only (prefix stable), so SEC-46 still holds.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/continuity.py:194		Long-conversation compaction (append-only DERIVED summaries).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/domain/codex_rollout.py:130		One exact tenant/workspace allowlist cell;
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/domain/grant_lease.py:28		Durable lifecycle of a bearer digest, never of the bearer itself.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/held_write_resume.py:117		Re-enter the ONE chokepoint with the recorded call.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/held_write_resume.py:70		Whether this answered approval is still ours to redeem.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/cell_privilege.py:179		Prove a SPAWNED CELL's privilege state before it is handed any credential.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/cell_privilege.py:87		Read this process's real privilege state out of ``/proc``.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/cell_spawner.py:389		slot's own contents FIRST, as the cell uid, so a later tenant never
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/cell_spawner.py:563		Signal a cell by forking a reaper that shares its uid.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/cell_spawner.py:622		that never did would leak a pid-table entry per cell until the container
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/codex_cell_boundary.py:197		Assert Yama restricted ptrace, failing closed when it cannot be read (G5).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/codex_cell_boundary.py:230		Prove the named boundary is in force right now, or refuse to proceed (G4).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/codex_cell_policy.py:64		Supervisor-managed upstream Codex authentication, always redacted.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/codex_model_proxy_server.py:200		Fail-closed: never reach upstream without an active bearer.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/codex_model_proxy_server.py:245		Bounded, body-safe: never leak the key or the upstream error detail.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/codex_runtime_config.py:107		lane and renders byte-identically to before.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/codex_runtime_config.py:185		server or bearer env var was rewritten cannot match its receipt.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/codex_runtime_config_argv.py:117		env var.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/codex_runtime_config_policy.py:119		Validate the kernel MCP endpoint a kernel-tools cell connects to.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/codex_runtime_config_policy.py:98		Validate the ABSTRACT ingress socket name the shared helper gets on argv.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/codex_runtime_config_toml.py:165		The ``[mcp_servers]`` section: empty, or exactly the kernel's own face.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/codex_runtime_config_toml.py:19		so it is a fixed constant, never a per-run value.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/codex_stdio_transport.py:51		Content-free diagnostic labels for a codex stderr tail.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/codex_trusted_proxy_provider.py:243		D1: fail closed BEFORE any provisioning or bearer mint can happen.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/codex_trusted_proxy_provider.py:572		Write the cell's config.toml and return the argv pinning the same values.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/codex_trusted_proxy_support.py:179		Build the cell scope from the child's REAL ``/proc`` identity (D3).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/model_proxy_peer_attestation.py:1		Bounded pidfd-backed attestation for an accepted model-auth Unix peer.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/model_proxy_peer_attestation.py:102		peer-supplied data), so logging it cannot leak attacker content.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/fleet/infrastructure/model_proxy_peer_listener.py:195		peer-supplied data, so this cannot leak attacker-controlled content.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/infrastructure/postgres_root_engine_decisions.py:42		Durable insert-once root decision store backed by PostgreSQL.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/lease_token.py:106		Does this row still carry the lease the token names? Used ONLY as an early exit before doing work - never as the fence.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/model_profiles.py:17		A named provider/model/base-url selection, never credential material.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/reflection.py:23		A short, deterministic lesson distilled from an outcome (Phase 3, US-WFL-07).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/stack_tool_health.py:1		Owner-local liveness evidence for first-party stack tools.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/stack_tool_receipts.py:1		Authenticated, expiring Redis receipts for fleet-owned tool health.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/fleet/stack_tool_receipts.py:87		Opaque tenant binding so signed evidence cannot cross tenant keys.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/__init__.py:1		Identity and SSO: token verification, RBAC, and delegation (US-IAM-01..05).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/auth.py:73		RS256->HS256 / alg=none confusion cannot forge a token.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/auth.py:75		A token may not claim a longer life than this regardless of its exp (IAM-03).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/delegation.py:43		Exchange a user token for a scoped downstream token (RFC 8693 seam).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/invites.py:21		A fresh high-entropy single-use invite secret (shown once, never stored).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/invites.py:26		The at-rest representation of an invite token: its sha256, never the secret.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/passwords.py:25		A minimum-length floor so accept-invite cannot set a trivially weak password.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/passwords.py:81		never as an error that could distinguish it from a wrong password.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/rbac.py:284		The Knowledge access scopes a caller may use (SEC-KNO-01), derived server-side from the authenticated principal - never from caller-supplied context keys: their own user (and the user they act on behalf of), the active w
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/rbac.py:34		Returned when no IdP group matches any mapping.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/rbac.py:52		Map a caller's IdP groups to (platform_role, merged_scope) (US-IAM-02).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/sessions.py:300		it (fail-closed, D3).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/sessions.py:306		compare.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/sessions.py:350		closed, so the kernel never carries a stale or cross-org workspace scope.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/sessions.py:71		A fresh high-entropy session secret (the cookie value;
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/sessions.py:76		The at-rest representation of a session: its sha256, never the secret.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/tokens.py:1		Personal access tokens (Round Four PAT, SEC-34).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/tokens.py:102		read fails closed - a valid token would 401 as "de-provisioned".
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/tokens.py:35		The at-rest representation of a PAT: a SHA-256 hash, never the secret.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/totp.py:152		A fresh high-entropy 2FA login challenge token (never stored raw).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/totp.py:157		The at-rest sha256 of a challenge token - never the token itself (D3).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/identity/totp.py:72		The ``otpauth://`` URI for the QR shown ONCE at enroll-begin.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/identity/totp.py:97		A corrupt/foreign secret is a non-match (fail-closed), never an error
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/access_routes.py:1		Round Four HTTP surface: settings, personal access tokens, sessions, user directory and invitations - the account & access-management surface.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/access_routes.py:103		An AI-config row for listing: provider/model + WHETHER a key is set, NEVER the key itself (the secret lives only in the sealed credential store).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/access_routes.py:140		An organisation for the management surface: the policy flags + handle, NEVER any secret (AI keys live in the sealed credential store, not here).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/access_routes.py:163		Authorize workspace management, returning the row and optional denial.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/access_routes.py:242		keys-only audit: the length, never the answer text (K-20 / US-CONV-08).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/access_routes.py:277		the pump (in a finally).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/access_routes.py:467		active org is NEVER trusted.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/access_routes.py:644		handle + policy flags, never a secret.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/access_routes.py:680		add-member picker;
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/access_routes.py:76		A PAT for listing: never the secret or the hash (PAT-02).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/app.py:505		fail-closed to the caller's scope.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/app.py:735		user has a password), so they are always wired.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/approval_gate.py:37		Return approval context that is faithful but never a secret store.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/audit.py:146		Bounded-observability scrub (K-20).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/audit.py:36		argues for never rotating a LEAKED key.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/channel_notify.py:50		The recipient subjects a matching pref addresses (SEC-179).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/channel_routes.py:212		SEC-181 adjacency: a SECURE question's answer is sealed as a run/purpose-scoped credential reference by the secure-input surface;
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/cost.py:115		Apply ``(input_rate, output_rate)`` to one run's reported usage.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/credentials.py:163		Fetch the material behind a stored credential REFERENCE ({store, ref}) through the SecretStore seam.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/credentials.py:203		Resolve one parsed reference to its material, FAIL CLOSED: only the SAME run AND the SAME owner may resolve it, only a genuine secure-answer row whose embedded run/purpose match the reference exactly qualifies (a tampere
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/credentials.py:334		Delete every run-scoped secure-input credential of a finished run.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/desktop_routes.py:1		Desktop-hands pull surface (decision 0016, DH-1).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/desktop_routes.py:82		was never issued): refuse, and do not audit a no-op as execution
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/dispatch.py:199		observability side-channel - like audit, it never affects the dispatch
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/dispatch.py:207		Record a security signal on the distinct stream (D3), at the same field depth as the audit row.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/dispatch.py:244		Announce the pause AND make it durable (decision 0018, Order 2).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/dispatch.py:324		scoped credential reference (the value never enters the run) and
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/dispatch.py:403		audit row (actor / workspace / ip / ua).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/dispatch.py:675		minted straight into the credential arg, never into params/events/audit.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/events.py:39		A tenant-bound relay view for trusted turn-executor integrations.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/held_call.py:54		without guessing.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/hitl_http.py:231		Owner-only, fail-closed answer to a QUESTION request (US-CHAT-12).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/pii.py:108		the audit scrubber; at the other five a truthy answer REFUSES.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/pii.py:131		Return the name of the first identity pattern found, or None.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/pii.py:25		Secret patterns that must NEVER reach the audit record (K-20).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/platform_routes/observability.py:113		tenant fence makes this org-scoped fail-closed;
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/platform_routes/observability.py:153		its own disclosure.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/questions.py:106		a label for the audit row, never a loadable adapter.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/kernel/run_event_projection.py:30		Capped, because this now reaches the append-only audit row and not only the
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/run_event_projection.py:48		Redact secret-shaped values before the internal run-event relay.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/kernel/security_events.py:104		Fail-safe convenience the auth / ratelimit / grant paths call.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/knowledge/projections.py:256		bucket names, or DSN fragments never reach the agent or the audit log.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/memory/adapter.py:134		--- audit helper (memory-governance events, contents never logged) ---
LOAD-BEARING	NO-SUBJECT	comment	boltrig/memory/adapter.py:215		SEC-45: audit the query/scope/count, never the contents.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/memory/adapter.py:223		--- memory.improve (reweight;
LOAD-BEARING	NO-SUBJECT	comment	boltrig/memory/adapter_specs.py:105		Erasure is a compliance right, so it is not HITL-gated but is always
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/memory/cognee.py:256		Engine-level weight sidecar: cognee has no per-item reweight primitive, so a signal adjusts the recall boost only - never scope or authority (SEC-41).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/memory/embeddings.py:128		30x-redirecting and forwarding the API key elsewhere, so we never follow
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/memory/engine.py:72		Reweight from a usage/feedback signal; return the number adjusted.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/memory/projections.py:1		Kernel-led memory projection fanout.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/models/access.py:100		(fail-closed once past);
LOAD-BEARING	NO-SUBJECT	comment	boltrig/models/access.py:60		and never stored;
LOAD-BEARING	NO-SUBJECT	comment	boltrig/models/audit.py:82		never a secret here.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/models/birth_profile.py:1		Redacted process birth-profile startup evidence.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/models/channel_providers.py:153		Build a sealed-store row containing reference metadata only.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/models/channels.py:103		A verified external sender mapped to an internal identity, within a channel's tenant.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/models/channels.py:119		A durable outbound delivery for a socket-class channel (decision 0003, Phase 2).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/models/context.py:27		AUTHORIZED the caller's membership every request (fail-closed to None), so it
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/models/errors.py:95		No verb_binding resolves this verb for this tenant (fail-closed, K-13).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/models/grants.py:110		Tenant ∩ skill grants.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/models/grants.py:28		identifier and so can never match a grant.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/models/grants.py:70		Match one grant pattern against a verb id (K-9 terminal-wildcard rule).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/models/hitl.py:57		approval for one verb cannot authorise another, and the requester cannot
LOAD-BEARING	NO-SUBJECT	comment	boltrig/models/hitl.py:73		principal's department scope and must never be widened by a reader.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/models/hitl.py:78		the answer as a run/purpose-scoped credential reference (never recording
LOAD-BEARING	NO-SUBJECT	comment	boltrig/models/libraries.py:31		never the kernel-owned credential material.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/base.py:343		scope_id, so concurrent reserves on overlapping scopes cannot deadlock) and
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/base.py:347		open: scope A debited, scope B refuses, A stays charged for a call that never
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/base.py:502		cannot leak through a user view/export).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/base.py:584		inside the bound tenant (None otherwise, fail-closed), so a switch can never
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/base.py:605		only ever returns a row inside the bound tenant (None otherwise, fail-closed).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/base.py:617		rows inside the bound tenant, so a caller can never read another org/workspace's
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/base.py:79		here, so a growing audit table is never pulled into memory wholesale and
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/channels.py:198		predicate): a conflicting id from another tenant is a no-op, never a
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/conversation_contract.py:72		Hard retention purge excludes the tamper-evident audit ledger.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:1038		bound tenant's row, None otherwise (fail-closed).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:1043		of.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:1052		only ever returns the bound tenant's org, never another tenant's.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:1083		is inside the bound tenant, else None (fail-closed, never crosses tenants).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:1088		member of.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:1115		never returns this tenant's row (fail-closed, never crosses the boundary).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:151		Append-only derived compaction summaries, keyed by conversation id.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:185		secret itself lives SEALED in self._creds (credential_refs), never here.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:227		pointers, never a secret or business data.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:230		(tenant, level, scope_id);
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:665		Append-only ([2026] VJS-COUNTY 4 keeps message content frozen): a summary
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/memory.py:679		messages AND their derived summaries;
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/postgres.py:1629		org, never another tenant's, joined through org_members.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/postgres.py:1674		it can never return another tenant's row (None when absent, fail-closed).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/postgres.py:1725		tenant's AI-config row (None when absent, fail-closed).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/postgres.py:804		(tenant, user) rows, so another user's thread can never surface.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/postgres.py:912		Append-only ([2026] VJS-COUNTY 4 keeps message content frozen): a summary
LOAD-BEARING	NO-SUBJECT	comment	boltrig/store/postgres.py:943		explicitly first.
LOAD-BEARING	NO-SUBJECT	compose	docker-compose.yml:48		M9 (SEC-69): no baked default credential.
LOAD-BEARING	SUBJECT-EXTERNAL	docstring	boltrig/adapters/builtin/channel_send.py:1	outbound_url	channel.send - the governed outbound egress verb (decision 0003).
LOAD-BEARING	SUBJECT-EXTERNAL	docstring	boltrig/adapters/builtin/crm_sql.py:1	contact	Reference SQL adapter: a CRM over a relational database (US-ADP-03, SEC-09).
LOAD-BEARING	SUBJECT-EXTERNAL	docstring	boltrig/adapters/builtin/familiar.py:1	familiar.express	The familiar's voluntary-expression adapter (source = 'builtin'), binding WL-3.
LOAD-BEARING	SUBJECT-EXTERNAL	docstring	boltrig/adapters/builtin/inbound_webhook.py:69	t	The exact bytes the HMAC binds: ``t + "." + canonical_body`` (M3/SEC-66).
LOAD-BEARING	SUBJECT-EXTERNAL	docstring	boltrig/adapters/loader.py:1	down	Dynamic adapter loading + hot reload + health (US-ADP-06, P1, NFR-MNT-02).
LOAD-BEARING	SUBJECT-EXTERNAL	docstring	boltrig/addons/__init__.py:205	tool	The HIGHEST consequence any addon reads off ``tool``.
LOAD-BEARING	SUBJECT-EXTERNAL	docstring	boltrig/api/chat_cli.py:1	BOLTRIG_CLI_TOKEN	``boltrig chat`` - the user-facing terminal client.
