id	area	statement	status	evidence	invariant
BT-REQ-0168	SPEC-01-kernel-dispatch	An audit append fault defers the scrubbed payload to the outbox rather than dropping it.	IMPLEMENTED	`boltrig/kernel/audit.py:337` `"DURABLE DEFERRAL (SEC-16 audit-always, 2026-08-16)"`	SEC-16
BT-REQ-0169	SPEC-01-kernel-dispatch	When the outbox write also fails the action stands effectful and unaudited, logged as a governance incident rather than masking the caller's exception.	IMPLEMENTED-UNTESTED	`boltrig/kernel/dispatch.py:474` `"SEC-16's audit-always, honestly stated"`	SEC-16
BT-REQ-0170	SPEC-01-kernel-dispatch	The outbox janitor re-derives seq, prev_hash and hash at drain time so the chain stays contiguous, preserving the action `ts` and marking the late admission.	IMPLEMENTED	`boltrig/kernel/audit_outbox.py:9` `"CHAIN-SAFETY IS THE DESIGN CONSTRAINT"`	SEC-16
BT-REQ-0171	SPEC-01-kernel-dispatch	The outbox drain backs off `attempts * 30s` capped at 10 minutes and quarantines a non-dict payload.	IMPLEMENTED	`boltrig/kernel/audit_outbox.py:80` `"backoff = min(_BACKOFF_BASE_SECONDS * attempts, _BACKOFF_CAP_SECONDS)"`	SEC-16
BT-REQ-0172	SPEC-01-kernel-dispatch	Each audit row is HMAC-chained to its predecessor per tenant, serialised by a per-tenant lock and backstopped by `UNIQUE (tenant_id, seq)`.	IMPLEMENTED	`boltrig/kernel/audit.py:318` `"SEC-16: serialise the read-head -> append per tenant"`	K-19
BT-REQ-0173	SPEC-01-kernel-dispatch	Exactly one HMAC key verifies each row, bounded by the seq at which a retired key was retired.	IMPLEMENTED	`boltrig/kernel/audit.py:76` `"The ONE key a row at ``seq`` is allowed to verify under"`	K-19
BT-REQ-0174	SPEC-01-kernel-dispatch	The live audit HMAC key is read once at module import, so rotating it requires a process restart.	IMPLEMENTED-UNTESTED	`boltrig/kernel/audit.py:28` `"_HMAC_KEY = os.environ.get(\"BOLTRIG_AUDIT_HMAC_KEY\""`	K-19
BT-REQ-0175	SPEC-01-kernel-dispatch	Audit `detail` is scrubbed on both keys and values, recursing through nested dicts and lists, and `user_agent` is scrubbed as a chain field.	IMPLEMENTED	`boltrig/kernel/audit.py:180` `"Bring the KEY within the scrub"`	K-20
BT-REQ-0176	SPEC-01-kernel-dispatch	Chain verification re-derives the entire per-tenant chain from seq 1 ascending and cannot loop on a non-advancing page.	IMPLEMENTED	`boltrig/kernel/audit.py:272` `"a misbehaving scan page must never loop forever"`	SEC-168
BT-REQ-0177	SPEC-01-kernel-dispatch	The Opbox-depth audit fields are folded into the hash only when non-None, so pre-enrichment rows still verify.	IMPLEMENTED	`boltrig/kernel/audit.py:111` `"canonicalises byte-for-byte identically to before"`	K-19
BT-REQ-0178	SPEC-01-kernel-dispatch	A denied grant and a throttle trip are recorded on the distinct security stream at the same field depth as the audit row.	IMPLEMENTED	`boltrig/kernel/dispatch.py:413` `"if isinstance(e, GrantMissing):"`	-
BT-REQ-0179	SPEC-01-kernel-dispatch	The chokepoint's security-event call has no guard of its own, so its fail-safety depends entirely on the injected writer swallowing.	IMPLEMENTED-UNTESTED	`boltrig/kernel/dispatch.py:223` `"await self._security.record("`	-
BT-REQ-0180	SPEC-01-kernel-dispatch	Run events are published to this run and to the delegating parent run, and a publish failure is swallowed.	IMPLEMENTED	`boltrig/kernel/dispatch.py:288` `"Publish to THIS run and to the run that delegated to it"`	-
BT-REQ-0181	SPEC-01-kernel-dispatch	The `tool_call` and `tool_result` frames carry a redacted input/output plus a value-free key summary, never raw params on the chat stream.	IMPLEMENTED	`boltrig/kernel/run_event_projection.py:19` `"A bounded, VALUE-FREE description of a verb's params"`	K-20
BT-REQ-0182	SPEC-01-kernel-dispatch	A `voice_tone` frame is emitted only for an ok result carrying a well-formed tone block, otherwise no event rather than a partial one.	IMPLEMENTED	`boltrig/kernel/run_event_projection.py:113` `"A ``voice_tone`` event, when the verb reported one and only then"`	-
BT-REQ-0183	SPEC-01-kernel-dispatch	An approval pause is recorded durably as a reserved `held:` checkpoint on the root run plus the verbatim call sealed under a distinct credential kind.	IMPLEMENTED	`boltrig/kernel/held_call.py:174` `"await store.set_credential_ref("`	SEC-14
BT-REQ-0184	SPEC-01-kernel-dispatch	Only an APPROVAL pause is held; a QUESTION pause seals nothing.	IMPLEMENTED	`boltrig/kernel/dispatch.py:272` `"Only an APPROVAL is held"`	SEC-181
BT-REQ-0185	SPEC-01-kernel-dispatch	A held-call record failure is not swallowed, unlike the event relay.	IMPLEMENTED-UNTESTED	`boltrig/kernel/dispatch.py:269` `"a failure here is NOT swallowed"`	-
BT-REQ-0186	SPEC-01-kernel-dispatch	A run-terminal credential sweep is skipped while any held call is still paused on that run.	IMPLEMENTED	`boltrig/kernel/held_call.py:310` `"if await any_held_call_paused(store, tenant_id, run_id):"`	SEC-181
BT-REQ-0187	SPEC-01-kernel-dispatch	`CredentialResolver.sweep_run_scoped` has no production call site; the wired lifecycle seam is `held_call.sweep_run_credentials_if_settled`.	DEAD	`boltrig/kernel/credentials.py:362` `"async def sweep_run_scoped(self, tenant_id: str, run_id: str) -> int:"`	-
BT-REQ-0188	SPEC-01-kernel-dispatch	A successful consequential invocation appends a run-effect ledger row with its inverse or an honest not-undoable row.	IMPLEMENTED	`boltrig/kernel/run_effect_recorder.py:36` `"async def record_run_effect("`	FR-REV-01
BT-REQ-0189	SPEC-01-kernel-dispatch	The inverse registry ships empty and an unregistered or raising builder yields not-undoable.	IMPLEMENTED	`boltrig/kernel/effect_inverses.py:53` `"Fail-closed twice over"`	FR-REV-01
BT-REQ-0190	SPEC-01-kernel-dispatch	A revert run records nothing, so an undo cannot re-enter the ledger.	IMPLEMENTED	`boltrig/kernel/run_effect_recorder.py:46` `"(context.extra or {}).get(\"effect_revert\")"`	FR-REV-01
BT-REQ-0191	SPEC-01-kernel-dispatch	Crossing the one-to-two active-author boundary via a `control.` verb writes its own audit row, measured by counting rather than by a verb list.	IMPLEMENTED	`boltrig/kernel/dispatch.py:646` `"measured by COUNTING rather than by knowing which verbs touch"`	-
BT-REQ-0192	SPEC-01-kernel-dispatch	Cost accounting is not on the dispatch path; `tokens_used` and `cost_micros` are never set by the chokepoint.	IMPLEMENTED-UNTESTED	`boltrig/kernel/dispatch.py:445` `"await self._audit.write("` (no cost fields passed)	-
BT-REQ-0193	SPEC-01-kernel-dispatch	An unknown model price falls back to the cost tier and unattributed tokens are billed at the input rate, never free.	IMPLEMENTED	`boltrig/kernel/cost.py:125` `"A silent zero is worse than an imprecise charge"`	-
BT-REQ-0194	SPEC-01-kernel-dispatch	A hard-stop budget reservation debits every scope or none, re-checked under lock.	IMPLEMENTED	`boltrig/kernel/cost.py:322` `"if windows is None:"`	-
BT-REQ-0195	SPEC-01-kernel-dispatch	`boltrig/kernel/**` may not import `boltrig.fleet` or `services`, enforced by a deny-list scan that fails when the kernel root is missing.	IMPLEMENTED	`scripts/check_architecture.py:58` `"_KERNEL_FORBIDDEN = (\"boltrig.fleet\", \"services\")"`	-
BT-REQ-0196	SPEC-01-kernel-dispatch	`RecordingDispatcher` delegates both attribute reads and writes so collaborators swapped by assignment reach the real dispatcher.	IMPLEMENTED	`boltrig/kernel/trajectory.py:175` `"WRITES GO THROUGH TOO, or the proxy is only half transparent"`	-
BT-REQ-0197	SPEC-01-kernel-dispatch	The routing attribution keys `capability`, `capability_binding_id`, `connection`, `source_operation` and `route_selected_by` are written into `meta` and read by nothing.	DEAD	`boltrig/kernel/routing.py:233` `"meta[\"capability\"] = plan.ref"`	-
BT-REQ-0198	SPEC-01-kernel-dispatch	Capability input and output transforms are declared on the binding and applied nowhere; a routed call executes and validates against the provider schema.	SCAFFOLDED	`boltrig/models/capability_routing.py:144` `"input_transform_ref: str	None = None"`
BT-REQ-0199	SPEC-01-kernel-dispatch	The one-chokepoint claim (`P2`, `US-KER-01`, `K-1`) is cited in the code but declared in no invariant, so nothing in the gate would fail on a second execute path.	IMPLEMENTED-UNTESTED	`boltrig/kernel/dispatch.py:1` `"The dispatch chokepoint (P2, US-KER-01, K-1)"`	-
BT-REQ-0200	SPEC-02-kernel-http-surface	The kernel exposes exactly one FastAPI application, built by `create_app`, carrying 294 routes registered from `boltrig/kernel/`.	IMPLEMENTED-UNTESTED	`boltrig/kernel/app.py:291` `"app = FastAPI(title=\"Boltrig Kernel\""`; AST census of 246 decorator plus 48 expanded `add_api_route` registrations. No test asserts the route count (bounded: `rg -n 'app.routes' tests/`).	-
BT-REQ-0201	SPEC-02-kernel-http-surface	`create_app` refuses to construct with no `principal_resolver` when a production signal is present.	IMPLEMENTED	`boltrig/kernel/app.py:257` `"FATAL: create_app() received no principal_resolver"`	SEC-60
BT-REQ-0202	SPEC-02-kernel-http-surface	With no auth configured and no dev-auth flag, the selected resolver refuses every request with 401.	IMPLEMENTED	`boltrig/api/bootstrap.py:496` `"authentication is not configured"`	SEC-01
BT-REQ-0203	SPEC-02-kernel-http-surface	Identity is taken only from a verified credential; a request body can never set tenant, subject, role, scope or grants.	IMPLEMENTED	`boltrig/kernel/app.py:6` `"handlers never read tenant/identity from"`; `boltrig/identity/sessions.py:13` `"verified session, never from the request body (SEC-02)."`	SEC-01
BT-REQ-0204	SPEC-02-kernel-http-surface	Eight reserved context keys supplied by a caller are dropped before the context is built.	IMPLEMENTED-UNTESTED	`boltrig/kernel/app.py:113` `"RESERVED_CONTEXT_KEYS = frozenset("` ; no test found naming the constant (bounded: `rg -n 'RESERVED_CONTEXT_KEYS' tests/`, 0 hits)	-
BT-REQ-0205	SPEC-02-kernel-http-surface	A PAT bearer resolves before the configured resolver and yields the owner's effective grants.	IMPLEMENTED	`boltrig/kernel/bearer_principal.py:54` `"if not (token and looks_like_pat(token)):"`	SEC-37
BT-REQ-0206	SPEC-02-kernel-http-surface	A PAT naming a workspace its owner does not belong to is refused 403, never silently unscoped.	IMPLEMENTED-UNTESTED	`boltrig/kernel/bearer_principal.py:67` `"not a member of that workspace"`	-
BT-REQ-0207	SPEC-02-kernel-http-surface	An invalid or expired PAT is refused 401.	IMPLEMENTED	`boltrig/kernel/bearer_principal.py:69` `"invalid or expired access token"`	SEC-01
BT-REQ-0208	SPEC-02-kernel-http-surface	Every mutating cookie-authenticated request must echo the session-bound CSRF token in `x-boltrig-csrf`, compared in constant time.	IMPLEMENTED-UNTESTED	`boltrig/identity/sessions.py:309` `"hmac.compare_digest("` ; tests exist in `tests/security/test_first_party_login.py` but were not opened	-
BT-REQ-0209	SPEC-02-kernel-http-surface	Bearer and PAT callers are never CSRF-gated, because the PAT branch returns before the session resolver runs.	IMPLEMENTED-UNTESTED	`boltrig/identity/sessions.py:306` `"Bearer/PAT auth never reaches here, so it is not CSRF-gated."`	-
BT-REQ-0210	SPEC-02-kernel-http-surface	A session whose user must change password is clamped to a three-path allowlist.	IMPLEMENTED-UNTESTED	`boltrig/identity/sessions.py:319` `"if user.must_change_password"`	-
BT-REQ-0211	SPEC-02-kernel-http-surface	A session in an org that requires 2FA, with no enrolled factor, is clamped to a four-path allowlist and refused 403 elsewhere.	IMPLEMENTED-UNTESTED	`boltrig/identity/sessions.py:343` `"two_factor_enrollment_required"`	-
BT-REQ-0212	SPEC-02-kernel-http-surface	The active workspace is re-authorised against current membership on every request and drops to None fail-closed.	IMPLEMENTED-UNTESTED	`boltrig/identity/sessions.py:351` `"resolve_active_workspace("`	-
BT-REQ-0213	SPEC-02-kernel-http-surface	Request provenance (`ip_address`, `user_agent`) is stamped at the door from the request, never from a body field.	IMPLEMENTED-UNTESTED	`boltrig/kernel/app.py:328` `"p.ip_address = _client_ip(request)"`	-
BT-REQ-0214	SPEC-02-kernel-http-surface	`CF-Connecting-IP` is honoured only under `BOLTRIG_TRUST_CF_CONNECTING_IP`; `X-Forwarded-For` is never trusted.	IMPLEMENTED-UNTESTED	`boltrig/kernel/web_security.py:70` `"if is_truthy(os.environ.get(\"BOLTRIG_TRUST_CF_CONNECTING_IP\")):"`	-
